Match number,blueBans,redBans
103,"['Leblanc', 'Sejuani', 'Alistar']","['Hecarim', 'Nidalee', 'KogMaw']"
104,"['Hecarim', 'Alistar', 'Fizz']","['Gragas', 'Kalista', 'Azir']"
105,"['Fizz', 'Yasuo', 'Alistar']","['Gragas', 'Kalista', 'Ryze']"
106,"['Bard', 'Ryze', 'Alistar']","['Irelia', 'Leblanc', 'Gragas']"
107,"['Evelynn', 'Nidalee', 'Thresh']","['Gnar', 'Alistar', 'RekSai']"
108,"['Alistar', 'Fizz', 'Yasuo']","['Kalista', 'Ryze', 'RekSai']"
109,"['Fizz', 'Thresh', 'Hecarim']","['Kalista', 'Leblanc', 'Gragas']"
110,"['Rumble', 'Gragas', 'Alistar']","['Ryze', 'Yasuo', 'Thresh']"
111,"['Hecarim', 'KogMaw', 'Varus']","['Nidalee', 'Ryze', 'Alistar']"
112,"['Alistar', 'Kalista', 'JarvanIV']","['Irelia', 'Leblanc', 'Ryze']"
113,"['Leblanc', 'Kalista', 'Kassadin']","['Gragas', 'Ryze', 'Alistar']"
114,"['Azir', 'Rumble', 'Alistar']","['Leblanc', 'Ryze', 'Maokai']"
115,"['Rumble', 'Sivir', 'Gragas']","['Ryze', 'Kalista', 'RekSai']"
116,"['Kalista', 'Gragas', 'Ryze']",[]
117,"['Leblanc', 'Azir', 'RekSai']","['Urgot', 'TwistedFate', 'Ryze']"
118,"['Leblanc', 'Hecarim', 'Sivir']","['Rumble', 'Ryze', 'Kalista']"
119,"['Nidalee', 'Thresh', 'Evelynn']","['Alistar', 'Ryze', 'Leblanc']"
120,"['Ekko', 'RekSai', 'Gragas']","['Alistar', 'Ryze', 'Sivir']"
121,"['Urgot', 'TwistedFate', 'Sivir']","['Ryze', 'Leblanc', 'Alistar']"
122,"['Irelia', 'Gragas', 'Alistar']","['Kalista', 'Ryze', 'Ekko']"
123,"['Rumble', 'Nidalee', 'Sivir']","['Kalista', 'Ryze', 'Gragas']"
124,[],"['Ryze', 'Nidalee', 'Vladimir']"
125,"['Nidalee', 'Sivir', 'Gragas']","['Ryze', 'Ekko', 'Hecarim']"
126,"['Irelia', 'Kalista', 'Alistar']","['JarvanIV', 'Rumble', 'Ryze']"
127,"['Gragas', 'Kalista', 'Alistar']","['Ryze', 'Ekko', 'Hecarim']"
128,"['Nidalee', 'Vladimir', 'Ryze']",[]
129,"['Irelia', 'Alistar', 'Gragas']","['Ryze', 'Ekko', 'Hecarim']"
130,"['Rumble', 'Gragas', 'Nidalee']","['Ryze', 'Kalista', 'Bard']"
131,"['Ekko', 'Sivir', 'Alistar']","['Ryze', 'Sejuani', 'Annie']"
132,"['KogMaw', 'Sivir', 'Gragas']","['Ryze', 'Azir', 'Alistar']"
133,"['RekSai', 'Alistar', 'Kalista']","['Ryze', 'Annie', 'Gragas']"
134,"['Alistar', 'KogMaw', 'RekSai']","['Ryze', 'Kalista', 'Gragas']"
135,"['Irelia', 'RekSai', 'Alistar']","['Ryze', 'Ekko', 'Gragas']"
136,"['Alistar', 'Vladimir', 'Gragas']","['Ryze', 'Rumble', 'Kalista']"
137,"['Gragas', 'Shen', 'Kassadin']","['JarvanIV', 'Alistar', 'Ryze']"
138,"['Azir', 'Annie', 'Kalista']","['Urgot', 'Ryze', 'Rumble']"
139,"['RekSai', 'Azir', 'Ekko']","['Ryze', 'Kalista', 'Gragas']"
140,"['Ekko', 'RekSai', 'Bard']","['Kalista', 'Gragas', 'Ryze']"
141,"['Rumble', 'JarvanIV', 'Kalista']","['Ryze', 'Alistar', 'TwistedFate']"
142,"['Kassadin', 'Gragas', 'Alistar']","['Viktor', 'Azir', 'Ryze']"
143,"['RekSai', 'Rumble', 'Kalista']","['Sivir', 'Ryze', 'Yasuo']"
144,"['Rumble', 'Nidalee', 'Kalista']","['Ryze', 'Vladimir', 'Irelia']"
